i,session,gap_length,prev_gap,mission,event,cum_spins_start,K_start,run_mean_prior,run_median_prior,expected_K_at100,deficit_K_at100,deficit_spins_at100,deficit_spins_at_median,prev2_sum,prev3_sum,pred_3win_300minus,pred_4win_400minus,pred_baseline,pred_lag1,pred_deficit_x033,deficit_spins_at_acctmean,deficit_spins_at_acctmedian,pred_def_acctmean_full,pred_def_acctmean_x033,pred_def_acctmedian_full,pred_def_acctmedian_x033,err_baseline,err_lag1,err_3win,err_4win,err_deficit_x033,err_def_acctmean_full,err_def_acctmean_x033,err_def_acctmedian_full,err_def_acctmedian_x033
35,S0,58,64,37,bonus_bs15_gae3_no,3125,35,89.3,71,31.25,-3.75,-375.0,640.0,191,198,109,202,89.3,114.0,213.0,-606.5,-200.0,713.1,306.7,295.0,161.0,-31.3,-56.0,-51,-144,-155.0,-655.1,-248.7,-237.0,-103.0
36,S0,191,58,37,bonus_bs15_gae3_no,3183,36,88.4,69.5,31.83,-4.17,-417.0,681.0,122,249,178,151,88.4,116.0,226.0,-655.1,-237.0,761.7,322.8,332.0,173.2,102.6,75.0,13,40,-35.0,-570.7,-131.8,-141.0,17.8
37,S0,74,191,37,bonus_bs15_gae3_no,3374,37,91.2,71,33.74,-3.26,-326.0,747.0,249,313,51,87,91.2,72.3,198.8,-570.7,-141.0,677.3,294.9,236.0,141.5,-17.2,1.7,23,-13,-124.8,-603.3,-220.9,-162.0,-67.5
38,S0,62,74,37,bonus_bs15_gae3_no,3448,38,90.7,72.0,34.48,-3.52,-352.0,712.0,265,323,35,77,90.7,110.8,206.9,-603.3,-162.0,709.9,305.7,257.0,148.5,-28.7,-48.8,27,-15,-144.9,-647.9,-243.7,-195.0,-86.5
39,S0,107,62,37,bonus_bs15_gae3_no,3510,39,90.0,71,35.1,-3.9,-390.0,741.0,136,327,164,73,90.0,114.7,218.7,-647.9,-195.0,754.5,320.4,290.0,159.4,17.0,-7.7,-57,34,-111.7,-647.5,-213.4,-183.0,-52.4
40,S0,125,107,37,bonus_bs15_gae3_no,3617,40,90.4,72.0,36.17,-3.83,-383.0,737.0,169,243,131,157,90.4,99.9,216.8,-647.5,-183.0,754.2,320.3,278.0,155.4,34.6,25.1,-6,-32,-91.8,-629.2,-195.3,-153.0,-30.4
41,S0,144,125,37,bonus_bs15_gae3_no,3742,41,91.3,73,37.42,-3.58,-358.0,749.0,232,294,68,106,91.3,94.0,209.4,-629.2,-153.0,735.8,314.2,248.0,145.5,52.7,50.0,76,38,-65.4,-591.8,-170.2,-104.0,-1.5
42,S0,44,144,37,bonus_bs15_gae3_no,3886,42,92.5,73.5,38.86,-3.14,-314.0,799.0,269,376,31,24,92.5,87.7,196.1,-591.8,-104.0,698.4,301.9,199.0,129.3,-48.5,-43.7,13,20,-152.1,-654.4,-257.9,-155.0,-85.3
43,S0,169,44,37,bonus_bs15_gae3_no,3930,43,91.4,73,39.3,-3.7,-370.0,791.0,188,313,112,87,91.4,120.6,213.5,-654.4,-155.0,761.0,322.6,250.0,146.1,77.6,48.4,57,82,-44.5,-592.0,-153.6,-81.0,22.9
44,S0,101,169,37,bonus_bs15_gae3_no,4099,44,93.2,73.5,40.99,-3.01,-301.0,865.0,213,357,87,43,93.2,79.5,192.5,-592.0,-81.0,698.6,302.0,176.0,121.7,7.8,21.5,14,58,-91.5,-597.6,-201.0,-75.0,-20.7
45,S0,107,101,37,bonus_bs15_gae3_no,4200,45,93.3,74,42.0,-3.0,-300.0,870.0,270,314,30,86,93.3,101.9,192.3,-597.6,-75.0,704.2,303.8,170.0,119.8,13.7,5.1,77,21,-85.3,-597.2,-196.8,-63.0,-12.8
46,S0,131,107,37,bonus_bs15_gae3_no,4307,46,93.6,78.0,43.07,-2.93,-293.0,719.0,208,377,92,23,93.6,99.9,190.3,-597.2,-63.0,703.8,303.7,158.0,115.8,37.4,31.1,39,108,-59.3,-572.8,-172.7,-27.0,15.2
47,S0,24,131,37,bonus_bs15_gae3_no,4438,47,94.4,82,44.38,-2.62,-262.0,584.0,238,339,62,61,94.4,92.0,180.9,-572.8,-27.0,679.4,295.6,122.0,103.9,-70.4,-68.0,-38,-37,-156.9,-655.4,-271.6,-98.0,-79.9
48,S0,33,24,37,bonus_bs15_gae3_no,4462,48,93.0,78.0,44.62,-3.38,-338.0,718.0,155,262,145,138,93.0,127.2,204.5,-655.4,-98.0,762.1,322.9,193.0,127.3,-60.0,-94.2,-112,-105,-171.5,-729.1,-289.9,-160.0,-94.3
49,S0,80,33,37,bonus_bs15_gae3_no,4495,49,91.7,74,44.95,-4.05,-405.0,869.0,57,188,243,212,91.7,124.2,225.4,-729.1,-160.0,835.7,347.2,255.0,147.8,-11.7,-44.2,-163,-132,-145.4,-755.7,-267.2,-175.0,-67.8
50,S0,156,80,37,bonus_bs15_gae3_no,4575,50,91.5,77.0,45.75,-4.25,-425.0,725.0,113,137,187,263,91.5,108.8,231.8,-755.7,-175.0,862.3,356.0,270.0,152.8,64.5,47.2,-31,-107,-75.8,-706.3,-200.0,-114.0,3.2
51,S0,44,156,37,bonus_bs15_gae3_no,4731,51,92.8,80,47.31,-3.69,-369.0,651.0,236,269,64,131,92.8,83.8,214.5,-706.3,-114.0,812.9,339.7,209.0,132.6,-48.8,-39.8,-20,-87,-170.5,-768.9,-295.7,-165.0,-88.6
52,S0,163,44,37,bonus_bs15_gae3_no,4775,52,91.8,77.0,47.75,-4.25,-425.0,771.0,200,280,100,120,91.8,120.6,232.1,-768.9,-165.0,875.5,360.4,260.0,149.4,71.2,42.4,63,43,-69.1,-712.5,-197.4,-97.0,13.6
