i,session,gap_length,prev_gap,mission,event,cum_spins_start,K_start,run_mean_prior,run_median_prior,expected_K_at100,deficit_K_at100,deficit_spins_at100,deficit_spins_at_median,prev2_sum,prev3_sum,pred_3win_300minus,pred_4win_400minus,pred_baseline,pred_lag1,pred_deficit_x033,deficit_spins_at_acctmean,deficit_spins_at_acctmedian,pred_def_acctmean_full,pred_def_acctmean_x033,pred_def_acctmedian_full,pred_def_acctmedian_x033,err_baseline,err_lag1,err_3win,err_4win,err_deficit_x033,err_def_acctmean_full,err_def_acctmean_x033,err_def_acctmedian_full,err_def_acctmedian_x033
95,S1,152,70,21,bonus_as10_gae3_no,9401,95,99.0,88,94.01,-0.99,-99.0,1041.0,117,273,183,127,99.0,112.1,131.6,-727.3,376.0,833.9,346.6,-281.0,-29.1,53.0,39.9,-31,25,20.4,-681.9,-194.6,433.0,181.1
96,S1,52,152,21,bonus_as10_gae3_no,9553,96,99.5,88.5,95.53,-0.47,-47.0,1057.0,222,269,78,131,99.5,85.1,115.0,-681.9,433.0,788.5,331.6,-338.0,-47.9,-47.5,-33.1,-26,-79,-63.0,-736.5,-279.6,390.0,99.9
97,S1,103,52,21,bonus_as10_gae3_no,9605,97,99.0,88,96.05,-0.95,-95.0,1069.0,204,274,96,126,99.0,118.0,130.4,-736.5,390.0,843.1,349.7,-295.0,-33.7,4.0,-15.0,7,-23,-27.4,-740.1,-246.7,398.0,136.7
98,S1,159,103,31,bonus_as10_gae3_no,9708,98,99.1,88.5,97.08,-0.92,-92.0,1035.0,155,307,145,93,99.1,101.2,129.4,-740.1,398.0,846.7,350.9,-303.0,-36.3,59.9,57.8,14,66,29.6,-687.7,-191.9,462.0,195.3
99,S1,48,159,31,bonus_as10_gae3_no,9867,99,99.7,89,98.67,-0.33,-33.0,1056.0,262,314,38,86,99.7,82.8,110.6,-687.7,462.0,794.3,333.6,-367.0,-57.5,-51.7,-34.8,10,-38,-62.6,-746.3,-285.6,415.0,105.5
100,S1,77,48,31,bonus_as10_gae3_no,9915,100,99.2,88.5,99.15,-0.85,-85.0,1065.0,207,310,93,90,99.2,119.3,127.2,-746.3,415.0,853.0,352.9,-320.0,-41.9,-22.2,-42.3,-16,-13,-50.2,-776.0,-275.9,397.0,118.9
101,S1,150,77,31,bonus_as10_gae3_no,9992,101,98.9,88,99.92,-1.08,-108.0,1104.0,125,284,175,116,98.9,109.8,134.6,-776.0,397.0,882.6,362.7,-302.0,-36.0,51.1,40.2,-25,34,15.4,-732.6,-212.7,452.0,186.0
102,S1,102,150,31,bonus_as10_gae3_no,10142,102,99.4,88.5,101.42,-0.58,-58.0,1115.0,227,275,73,125,99.4,85.8,118.6,-732.6,452.0,839.2,348.4,-357.0,-54.2,2.6,16.2,29,-23,-16.6,-737.2,-246.4,459.0,156.2
103,S1,83,102,31,bonus_as10_gae3_no,10244,103,99.5,89,102.44,-0.56,-56.0,1077.0,252,329,48,71,99.5,101.5,117.9,-737.2,459.0,843.8,349.9,-364.0,-56.5,-16.5,-18.5,35,12,-34.9,-760.8,-266.9,447.0,139.5
104,S1,70,83,31,bonus_as10_gae3_no,10327,104,99.3,88.5,103.27,-0.73,-73.0,1123.0,185,335,115,65,99.3,107.8,123.4,-760.8,447.0,867.4,357.7,-352.0,-52.5,-29.3,-37.8,-45,5,-53.4,-797.4,-287.7,422.0,122.5
105,S1,134,70,31,bonus_as10_gae3_no,10397,105,99.0,88,103.97,-1.03,-103.0,1157.0,153,255,147,145,99.0,112.1,133.0,-797.4,422.0,904.0,369.8,-327.0,-44.3,35.0,21.9,-13,-11,1.0,-770.0,-235.8,461.0,178.3
106,S1,69,134,31,bonus_as10_gae3_no,10531,106,99.3,88.5,105.31,-0.69,-69.0,1150.0,204,287,96,113,99.3,91.0,122.1,-770.0,461.0,876.6,360.7,-366.0,-57.1,-30.3,-22.0,-27,-44,-53.1,-807.6,-291.7,435.0,126.1
107,S1,160,69,31,bonus_as10_gae3_no,10600,107,99.1,88,106.0,-1.0,-100.0,1184.0,203,273,97,127,99.1,112.4,132.1,-807.6,435.0,914.3,373.1,-340.0,-48.6,60.9,47.6,63,33,27.9,-754.3,-213.1,500.0,208.6
108,S1,108,160,31,bonus_as10_gae3_no,10760,108,99.6,88.5,107.6,-0.4,-40.0,1202.0,229,363,71,37,99.6,82.5,112.8,-754.3,500.0,860.9,355.5,-405.0,-70.0,8.4,25.5,37,71,-4.8,-752.9,-247.5,513.0,178.0
109,S1,55,108,31,bonus_bs15_gae3_no,10868,109,99.7,89,108.68,-0.32,-32.0,1167.0,268,337,32,63,99.7,99.6,110.3,-752.9,513.0,859.5,355.1,-418.0,-74.3,-44.7,-44.6,23,-8,-55.3,-804.5,-300.1,473.0,129.3
110,S1,173,55,31,bonus_bs15_gae3_no,10923,110,99.3,88.5,109.23,-0.77,-77.0,1188.0,163,323,137,77,99.3,117.0,124.7,-804.5,473.0,911.1,372.1,-378.0,-61.1,73.7,56.0,36,96,48.3,-738.1,-199.1,551.0,234.1
111,S1,126,173,31,bonus_bs15_gae3_no,11096,111,100.0,89,110.96,-0.04,-4.0,1217.0,228,336,72,64,100.0,78.2,101.3,-738.1,551.0,844.7,350.2,-456.0,-86.8,26.0,47.8,54,62,24.7,-718.7,-224.2,582.0,212.8
112,S1,77,126,31,bonus_bs15_gae3_no,11222,112,100.2,91.0,112.22,0.22,22.0,1030.0,299,354,1,46,100.2,93.6,92.9,-718.7,582.0,825.3,343.8,-487.0,-97.1,-23.2,-16.6,76,31,-15.9,-748.3,-266.8,564.0,174.1
113,S1,137,77,37,,11299,113,100.0,89,112.99,-0.01,-1.0,1242.0,203,376,97,24,100.0,109.8,100.3,-748.3,564.0,854.9,353.6,-469.0,-91.1,37.0,27.2,40,113,36.7,-717.9,-216.6,606.0,228.1
114,S1,280,137,37,bonus_as10_gae3_no,11436,114,100.3,91.0,114.36,0.36,36.0,1062.0,214,340,86,60,100.3,90.0,88.4,-717.9,606.0,824.5,343.5,-511.0,-105.0,179.7,190.0,194,220,191.6,-544.5,-63.5,791.0,385.0
115,S1,292,280,42,bonus_as10_gae3_no,11716,115,101.9,93,117.16,2.16,216.0,1021.0,417,494,-117,-94,101.9,43.0,30.6,-544.5,791.0,651.2,286.3,-696.0,-166.0,190.1,249.0,409,386,261.4,-359.2,5.7,988.0,458.0
116,S1,443,292,47,bonus_bs15_gae3_no,12008,116,103.5,94.0,120.08,4.08,408.0,1104.0,572,709,-272,-309,103.5,39.0,-31.1,-359.2,988.0,465.8,225.1,-893.0,-231.0,339.5,404.0,715,752,474.1,-22.8,217.9,1336.0,674.0
117,S1,70,443,47,bonus_bs15_gae3_no,12451,117,106.4,95,124.51,7.51,751.0,1336.0,735,1015,-435,-615,106.4,-10.6,-141.4,-22.8,1336.0,129.4,114.1,-1241.0,-345.9,-36.4,80.6,505,685,211.4,-59.4,-44.1,1311.0,415.9
118,S1,166,70,47,bonus_bs15_gae3_no,12521,118,106.1,94.0,125.21,7.21,721.0,1429.0,513,805,-213,-405,106.1,112.1,-131.8,-59.4,1311.0,166.0,126.2,-1216.0,-337.6,59.9,53.9,379,571,297.8,0.0,39.8,1382.0,503.6
