i,session,gap_length,prev_gap,mission,event,cum_spins_start,K_start,run_mean_prior,run_median_prior,expected_K_at100,deficit_K_at100,deficit_spins_at100,deficit_spins_at_median,prev2_sum,prev3_sum,pred_3win_300minus,pred_4win_400minus,pred_baseline,pred_lag1,pred_deficit_x033,deficit_spins_at_acctmean,deficit_spins_at_acctmedian,pred_def_acctmean_full,pred_def_acctmean_x033,pred_def_acctmedian_full,pred_def_acctmedian_x033,err_baseline,err_lag1,err_3win,err_4win,err_deficit_x033,err_def_acctmean_full,err_def_acctmean_x033,err_def_acctmedian_full,err_def_acctmedian_x033
77,S1,20,30,2,,7571,77,98.3,104,75.71,-1.29,-129.0,-437.0,150,273,150,127,98.3,125.2,140.9,-241.2,-360.0,342.6,181.0,463.0,221.8,-78.3,-105.2,-130,-107,-120.9,-322.6,-161.0,-443.0,-201.8
78,S1,134,20,3,,7591,78,97.3,103.0,75.91,-2.09,-209.0,-443.0,50,170,250,230,97.3,128.5,166.3,-322.6,-443.0,424.1,207.9,546.0,249.2,36.7,5.5,-116,-96,-32.3,-290.1,-73.9,-412.0,-115.2
79,S1,124,134,3,,7725,79,97.8,104,77.25,-1.75,-175.0,-491.0,154,184,146,216,97.8,91.0,155.5,-290.1,-412.0,391.5,197.2,515.0,239.0,26.2,33.0,-22,-92,-31.5,-267.5,-73.2,-391.0,-115.0
80,S1,78,124,4,,7849,80,98.1,106.0,78.49,-1.51,-151.0,-631.0,258,278,42,122,98.1,94.3,147.9,-267.5,-391.0,369.0,189.7,494.0,232.0,-20.1,-16.3,36,-44,-69.9,-291.0,-111.7,-416.0,-154.0
81,S1,57,78,5,bonus_bs15_gae1_no,7927,81,97.9,104,79.27,-1.73,-173.0,-497.0,202,336,98,64,97.9,109.4,155.0,-291.0,-416.0,392.4,197.5,519.0,240.3,-40.9,-52.4,-41,-7,-98.0,-335.4,-140.5,-462.0,-183.3
82,S1,176,57,19,,7984,82,97.4,103.0,79.84,-2.16,-216.0,-462.0,135,259,165,141,97.4,116.3,168.6,-335.4,-462.0,436.9,212.2,565.0,255.5,78.6,59.7,11,35,7.4,-260.9,-36.2,-389.0,-79.5
83,S1,105,176,26,,8160,83,98.3,104,81.6,-1.4,-140.0,-472.0,233,311,67,89,98.3,77.2,144.5,-260.9,-389.0,362.4,187.6,492.0,231.4,6.7,27.8,38,16,-39.5,-257.4,-82.6,-387.0,-126.4
84,S1,85,105,26,,8265,84,98.4,104.5,82.65,-1.35,-135.0,-513.0,281,338,19,62,98.4,100.6,142.9,-257.4,-387.0,358.8,186.4,490.0,230.7,-13.4,-15.6,66,23,-57.9,-273.8,-101.4,-405.0,-145.7
85,S1,118,85,26,,8350,85,98.2,104,83.5,-1.5,-150.0,-490.0,190,366,110,34,98.2,107.1,147.7,-273.8,-405.0,375.3,191.8,508.0,236.6,19.8,10.9,8,84,-29.7,-257.3,-73.8,-390.0,-118.6
86,S1,35,118,26,,8468,86,98.5,104.5,84.68,-1.32,-132.0,-519.0,203,308,97,92,98.5,96.3,142.0,-257.3,-390.0,358.7,186.4,493.0,231.7,-63.5,-61.3,-62,-57,-107.0,-323.7,-151.4,-458.0,-196.7
87,S1,157,35,27,,8503,87,97.7,104,85.03,-1.97,-197.0,-545.0,153,238,147,162,97.7,123.6,162.7,-323.7,-458.0,425.2,208.3,561.0,254.1,59.3,33.4,10,-5,-5.7,-268.2,-51.3,-404.0,-97.1
88,S1,25,157,27,bonus_as10_gae1_no,8660,88,98.4,104.5,86.6,-1.4,-140.0,-536.0,192,310,108,90,98.4,83.4,144.6,-268.2,-404.0,369.6,190.0,507.0,236.3,-73.4,-58.4,-83,-65,-119.6,-344.6,-165.0,-482.0,-211.3
89,S1,133,25,27,bonus_as10_gae1_no,8685,89,97.6,104,86.85,-2.15,-215.0,-571.0,182,217,118,183,97.6,126.9,168.5,-344.6,-482.0,446.1,215.2,585.0,262.1,35.4,6.1,15,-50,-35.5,-313.1,-82.2,-452.0,-129.1
90,S1,86,133,27,bonus_as10_gae1_no,8818,90,98.0,104.5,88.18,-1.82,-182.0,-587.0,158,315,142,85,98.0,91.3,158.0,-313.1,-452.0,414.6,204.8,555.0,252.2,-12.0,-5.3,-56,1,-72.0,-328.6,-118.8,-469.0,-166.2
91,S1,260,86,27,bonus_as10_gae1_no,8904,91,97.8,104,89.04,-1.96,-196.0,-560.0,219,244,81,156,97.8,106.8,162.5,-328.6,-469.0,430.0,209.9,572.0,257.8,162.2,153.2,179,104,97.5,-170.0,50.1,-312.0,2.2
92,S1,75,260,27,bonus_as10_gae1_no,9164,92,99.6,104.5,91.64,-0.36,-36.0,-450.0,346,479,-46,-79,99.6,49.6,111.5,-170.0,-312.0,271.5,157.6,415.0,206.0,-24.6,25.4,121,154,-36.5,-196.5,-82.6,-340.0,-131.0
93,S1,117,75,27,bonus_as10_gae1_no,9239,93,99.3,104,92.39,-0.61,-61.0,-433.0,335,421,-35,-21,99.3,110.4,119.5,-196.5,-340.0,297.9,166.3,443.0,215.2,17.7,6.6,152,138,-2.5,-180.9,-49.3,-326.0,-98.2
94,S1,79,117,27,bonus_as10_gae1_no,9356,94,99.5,104.5,93.56,-0.44,-44.0,-467.0,192,452,108,-52,99.5,96.6,114.1,-180.9,-326.0,282.4,161.2,429.0,210.6,-20.5,-17.6,-29,131,-35.1,-203.4,-82.2,-350.0,-131.6
95,S1,97,79,27,bonus_as10_gae1_no,9435,95,99.3,104,94.35,-0.65,-65.0,-445.0,196,271,104,129,99.3,109.1,120.8,-203.4,-350.0,304.8,168.6,453.0,218.5,-2.3,-12.1,-7,-32,-23.8,-207.8,-71.6,-356.0,-121.5
96,S1,103,97,27,bonus_as10_gae1_no,9532,96,99.3,103.0,95.32,-0.68,-68.0,-356.0,176,293,124,107,99.3,103.2,121.7,-207.8,-356.0,309.3,170.0,459.0,220.5,3.7,-0.2,-21,-4,-18.7,-206.3,-67.0,-356.0,-117.5
97,S1,163,103,37,bonus_as10_gae1_no,9635,97,99.3,103,96.35,-0.65,-65.0,-356.0,200,279,100,121,99.3,101.2,120.8,-206.3,-356.0,307.8,169.5,459.0,220.5,63.7,61.8,63,42,42.2,-144.8,-6.5,-296.0,-57.5
98,S1,193,163,42,bonus_as10_gae1_no,9798,98,100.0,103.5,97.98,-0.02,-2.0,-345.0,266,363,34,37,100.0,81.5,100.6,-144.8,-296.0,246.2,149.2,399.0,200.7,93.0,111.5,159,156,92.4,-53.2,43.8,-206.0,-7.7
99,S1,121,193,42,bonus_as10_gae1_no,9991,99,100.9,104,99.91,0.91,91.0,-305.0,356,459,-56,-59,100.9,71.6,70.9,-53.2,-206.0,154.7,119.0,309.0,171.0,20.1,49.4,177,180,50.1,-33.7,2.0,-188.0,-50.0
100,S1,149,121,45,,10112,100,101.1,104.5,101.12,1.12,112.0,-338.0,314,477,-14,-77,101.1,95.3,64.2,-33.7,-188.0,135.1,112.6,291.0,165.0,47.9,53.7,163,226,84.8,13.9,36.4,-142.0,-16.0
101,S1,123,149,47,bonus_as10_gae1_no,10261,101,101.6,105,102.61,1.61,161.0,-344.0,270,463,30,-63,101.6,86.1,48.5,13.9,-142.0,87.6,96.9,245.0,149.9,21.4,36.9,93,186,74.5,35.4,26.1,-122.0,-26.9
102,S1,94,123,47,bonus_ds25_gae1_no,10384,102,101.8,106.5,103.84,1.84,184.0,-479.0,272,393,28,7,101.8,94.6,41.1,35.4,-122.0,66.0,89.8,225.0,143.3,-7.8,-0.6,66,87,52.9,28.0,4.2,-131.0,-49.3
103,S1,142,94,47,bonus_ds25_gae1_no,10478,103,101.7,105,104.78,1.78,178.0,-337.0,217,366,83,34,101.7,104.2,43.0,28.0,-131.0,73.5,92.2,234.0,146.2,40.3,37.8,59,108,99.0,68.5,49.8,-92.0,-4.2
104,S1,53,142,47,bonus_ds25_gae1_no,10620,104,102.1,106.5,106.2,2.2,220.0,-456.0,236,359,64,41,102.1,88.4,29.5,68.5,-92.0,33.0,78.9,195.0,133.4,-49.1,-35.4,-11,12,23.5,20.0,-25.9,-142.0,-80.4
105,S1,163,53,47,bonus_ds25_gae1_no,10673,105,101.6,105,106.73,1.73,173.0,-352.0,195,289,105,111,101.6,117.7,44.6,20.0,-142.0,81.4,94.8,245.0,149.9,61.4,45.3,58,52,118.4,81.6,68.2,-82.0,13.1
106,S1,97,163,47,bonus_ds25_gae1_no,10836,106,102.2,106.5,108.36,2.36,236.0,-453.0,216,358,84,42,102.2,81.5,24.3,81.6,-82.0,19.9,74.5,185.0,130.1,-5.2,15.5,13,55,72.7,77.1,22.5,-88.0,-33.1
107,S1,46,97,47,bonus_ds25_gae1_no,10933,107,102.2,105,109.33,2.33,233.0,-302.0,260,313,40,87,102.2,103.2,25.3,77.1,-88.0,24.3,76.0,191.0,132.0,-56.2,-57.2,6,-41,20.7,21.7,-30.0,-145.0,-86.0
108,S1,181,46,47,bonus_ds25_gae1_no,10979,108,101.7,104.5,109.79,1.79,179.0,-307.0,143,306,157,94,101.7,120.0,42.6,21.7,-145.0,79.8,94.3,248.0,150.9,79.3,61.0,24,87,138.4,101.2,86.7,-67.0,30.1
109,S1,16,181,47,bonus_bs15_gae1_no,11160,109,102.4,105,111.6,2.6,260.0,-285.0,227,324,73,76,102.4,75.6,16.6,101.2,-67.0,0.2,68.1,170.0,125.1,-86.4,-59.6,-57,-60,-0.6,15.8,-52.1,-154.0,-109.1
110,S1,101,16,47,bonus_bs15_gae1_no,11176,110,101.6,104.5,111.76,1.76,176.0,-319.0,197,243,103,157,101.6,129.8,43.5,15.8,-154.0,85.7,96.3,257.0,153.8,-0.6,-28.8,-2,-56,57.5,15.3,4.7,-156.0,-52.8
111,S1,101,101,47,bonus_bs15_gae1_no,11277,111,101.6,104,112.77,1.77,177.0,-267.0,117,298,183,102,101.6,101.9,43.2,15.3,-156.0,86.1,96.4,259.0,154.5,-0.6,-0.9,-82,-1,57.8,14.9,4.6,-158.0,-53.5
112,S1,153,101,47,bonus_bs15_gae1_no,11378,112,101.6,103.5,113.78,1.78,178.0,-214.0,202,218,98,182,101.6,101.9,42.8,14.9,-158.0,86.6,96.6,261.0,155.1,51.4,51.1,55,-29,110.2,66.4,56.4,-108.0,-2.1
113,S1,69,153,47,bonus_bs15_gae1_no,11531,113,102.0,104,115.31,2.31,231.0,-221.0,254,355,46,45,102.0,84.8,25.8,66.4,-108.0,35.1,79.5,211.0,138.6,-33.0,-15.8,23,24,43.2,33.9,-10.5,-142.0,-69.6
114,S1,69,69,47,bonus_bs15_gae1_no,11600,114,101.8,103.5,116.0,2.0,200.0,-199.0,222,323,78,77,101.8,112.4,35.8,33.9,-142.0,67.5,90.3,245.0,149.9,-32.8,-43.4,-9,-8,33.2,1.5,-21.3,-176.0,-80.9
115,S1,162,69,47,bonus_bs15_gae1_no,11669,115,101.5,103,116.69,1.69,169.0,-176.0,138,291,162,109,101.5,112.4,45.7,1.5,-176.0,100.0,101.0,279.0,161.1,60.5,49.6,0,53,116.3,62.0,61.0,-117.0,0.9
116,S1,44,162,47,bonus_bs15_gae1_no,11831,116,102.0,103.5,118.31,2.31,231.0,-175.0,231,300,69,100,102.0,81.8,25.8,62.0,-117.0,39.4,81.0,220.0,141.6,-58.0,-37.8,-25,-56,18.2,4.6,-37.0,-176.0,-97.6
117,S1,118,44,47,bonus_bs15_gae1_no,11875,117,101.5,103,118.75,1.75,175.0,-176.0,206,275,94,125,101.5,120.6,43.7,4.6,-176.0,96.9,99.9,279.0,161.1,16.5,-2.6,24,-7,74.3,21.1,18.1,-161.0,-43.1
118,S1,149,118,47,bonus_bs15_gae1_no,11993,118,101.6,103.5,119.93,1.93,193.0,-220.0,162,324,138,76,101.6,96.3,37.9,21.1,-161.0,80.3,94.5,264.0,156.1,47.4,52.7,11,73,111.1,68.7,54.5,-115.0,-7.1
119,S1,110,149,47,bonus_bs15_gae1_no,12142,119,102.0,104,121.42,2.42,242.0,-234.0,267,311,33,89,102.0,86.1,22.2,68.7,-115.0,32.8,78.8,218.0,140.9,8.0,23.9,77,21,87.8,77.2,31.2,-108.0,-30.9
120,S1,84,110,47,bonus_as10_gae1_no,12252,120,102.1,104.5,122.52,2.52,252.0,-288.0,259,377,41,23,102.1,98.9,18.9,77.2,-108.0,24.3,76.0,211.0,138.6,-18.1,-14.9,43,61,65.1,59.7,8.0,-127.0,-54.6
121,S1,40,84,47,bonus_as10_gae1_no,12336,121,102.0,104,123.36,2.36,236.0,-248.0,194,343,106,57,102.0,107.5,24.1,59.7,-127.0,41.7,81.7,230.0,144.9,-62.0,-67.5,-66,-17,15.9,-1.7,-41.7,-190.0,-104.9
122,S1,158,40,47,bonus_as10_gae1_no,12376,122,101.4,103.5,123.76,1.76,176.0,-251.0,124,234,176,166,101.4,121.9,43.4,-1.7,-190.0,103.2,102.0,293.0,165.7,56.6,36.1,-18,-8,114.6,54.8,56.0,-135.0,-7.7
123,S1,52,158,47,bonus_as10_gae1_no,12534,123,101.9,104,125.34,2.34,234.0,-258.0,198,282,102,118,101.9,83.1,24.7,54.8,-135.0,46.6,83.4,238.0,147.6,-49.9,-31.1,-50,-66,27.3,5.4,-31.4,-186.0,-95.6
124,S1,114,52,47,bonus_as10_gae1_no,12586,124,101.5,103.5,125.86,1.86,186.0,-248.0,210,250,90,150,101.5,118.0,40.1,5.4,-186.0,96.1,99.7,289.0,164.4,12.5,-4.0,24,-36,73.9,17.9,14.3,-175.0,-50.4
125,S1,86,114,47,bonus_as10_gae1_no,12700,125,101.6,104,127.0,2.0,200.0,-300.0,166,324,134,76,101.6,97.6,35.6,17.9,-175.0,83.5,95.5,278.0,160.7,-15.6,-11.6,-48,10,50.4,2.5,-9.5,-192.0,-74.7
126,S1,99,86,47,bonus_as10_gae1_no,12786,126,101.5,103.5,127.86,1.86,186.0,-255.0,200,252,100,148,101.5,106.8,40.1,2.5,-192.0,99.0,100.6,295.0,166.4,-2.5,-7.8,-1,-49,58.9,0.0,-1.6,-196.0,-67.4
