threshold,cycles_total,cycles_played,vt_hits,target_hits,vt_catch_total_pct,target_catch_total_pct,bets_total,bets_per_vt_hit,bets_per_target_hit,head,horizon
0.15,1449,601,279,279,19.25465838509317,19.25465838509317,9378,33.61290322580645,33.61290322580645,ANY_VT,5
0.2,1449,106,44,44,3.036576949620428,3.036576949620428,1350,30.681818181818183,30.681818181818183,ANY_VT,5
0.25,1449,51,20,20,1.3802622498274673,1.3802622498274673,614,30.7,30.7,ANY_VT,5
0.3,1449,40,16,16,1.1042097998619738,1.1042097998619738,513,32.0625,32.0625,ANY_VT,5
0.4,1449,15,5,5,0.3450655624568668,0.3450655624568668,176,35.2,35.2,ANY_VT,5
0.05,1449,896,413,237,28.502415458937197,16.356107660455486,15593,37.75544794188862,65.79324894514768,ACC,5
0.08,1449,596,288,179,19.875776397515526,12.353347135955831,9334,32.40972222222222,52.14525139664804,ACC,5
0.1,1449,377,164,102,11.31815044858523,7.0393374741200825,5365,32.71341463414634,52.59803921568628,ACC,5
0.12,1449,181,82,57,5.659075224292615,3.9337474120082816,2621,31.963414634146343,45.98245614035088,ACC,5
0.15,1449,81,29,18,2.0013802622498273,1.2422360248447204,926,31.93103448275862,51.44444444444444,ACC,5
0.2,1449,22,5,4,0.3450655624568668,0.27605244996549344,186,37.2,46.5,ACC,5
0.25,1449,12,1,1,0.06901311249137336,0.06901311249137336,102,102.0,102.0,ACC,5
0.3,1449,10,1,1,0.06901311249137336,0.06901311249137336,91,91.0,91.0,ACC,5
0.4,1449,8,1,1,0.06901311249137336,0.06901311249137336,77,77.0,77.0,ACC,5
0.05,1449,1034,414,252,28.571428571428573,17.391304347826086,19146,46.2463768115942,75.97619047619048,SPN,5
0.08,1449,532,249,166,17.184265010351968,11.456176673567978,8039,32.285140562249,48.4277108433735,SPN,5
0.1,1449,239,101,75,6.97032436162871,5.175983436853002,3185,31.534653465346533,42.46666666666667,SPN,5
0.12,1449,89,35,22,2.4154589371980677,1.518288474810214,1129,32.25714285714286,51.31818181818182,SPN,5
0.15,1449,28,9,7,0.6211180124223602,0.4830917874396135,295,32.77777777777778,42.142857142857146,SPN,5
0.2,1449,18,5,4,0.3450655624568668,0.27605244996549344,169,33.8,42.25,SPN,5
0.25,1449,11,4,3,0.27605244996549344,0.2070393374741201,101,25.25,33.666666666666664,SPN,5
0.3,1449,11,4,3,0.27605244996549344,0.2070393374741201,88,22.0,29.333333333333332,SPN,5
0.4,1449,9,3,2,0.2070393374741201,0.13802622498274672,81,27.0,40.5,SPN,5
0.05,1449,1444,435,435,30.020703933747413,30.020703933747413,30721,70.62298850574713,70.62298850574713,ANY_VT,10
0.08,1449,1407,446,446,30.77984817115252,30.77984817115252,29682,66.55156950672645,66.55156950672645,ANY_VT,10
0.1,1449,1374,473,473,32.6432022084196,32.6432022084196,28312,59.856236786469346,59.856236786469346,ANY_VT,10
0.12,1449,1328,477,477,32.91925465838509,32.91925465838509,27014,56.63312368972746,56.63312368972746,ANY_VT,10
0.15,1449,1244,493,493,34.02346445824707,34.02346445824707,24609,49.91683569979716,49.91683569979716,ANY_VT,10
0.2,1449,959,444,444,30.641821946169774,30.641821946169774,17161,38.6509009009009,38.6509009009009,ANY_VT,10
0.25,1449,759,365,365,25.189786059351277,25.189786059351277,13361,36.605479452054794,36.605479452054794,ANY_VT,10
0.3,1449,400,209,209,14.423740510697032,14.423740510697032,6283,30.0622009569378,30.0622009569378,ANY_VT,10
0.4,1449,101,50,50,3.450655624568668,3.450655624568668,1325,26.5,26.5,ANY_VT,10
0.05,1449,1182,440,220,30.36576949620428,15.18288474810214,23527,53.470454545454544,106.94090909090909,ACC,10
0.08,1449,1020,421,231,29.054520358868185,15.942028985507246,19185,45.57007125890736,83.05194805194805,ACC,10
0.1,1449,849,371,208,25.603864734299517,14.35472739820566,15165,40.87601078167116,72.90865384615384,ACC,10
0.12,1449,718,334,204,23.050379572118704,14.078674948240165,12599,37.721556886227546,61.759803921568626,ACC,10
0.15,1449,549,267,158,18.426501035196686,10.904071773636991,9078,34.0,57.45569620253165,ACC,10
0.2,1449,292,135,86,9.316770186335404,5.935127674258109,4462,33.05185185185185,51.883720930232556,ACC,10
0.25,1449,106,48,31,3.3126293995859215,2.139406487232574,1590,33.125,51.29032258064516,ACC,10
0.3,1449,66,27,15,1.8633540372670807,1.0351966873706004,845,31.296296296296298,56.333333333333336,ACC,10
0.4,1449,18,9,6,0.6211180124223602,0.4140786749482402,228,25.333333333333332,38.0,ACC,10
0.05,1449,1379,434,247,29.95169082125604,17.04623878536922,28924,66.64516129032258,117.10121457489879,SPN,10
0.08,1449,1107,427,247,29.468599033816425,17.04623878536922,21928,51.3536299765808,88.77732793522267,SPN,10
0.1,1449,936,397,233,27.398205659075224,16.08005521048999,17410,43.85390428211587,74.72103004291846,SPN,10
0.12,1449,748,323,208,22.291235334713594,14.35472739820566,13323,41.247678018575854,64.05288461538461,SPN,10
0.15,1449,562,261,173,18.012422360248447,11.939268461007591,9109,34.900383141762454,52.653179190751445,SPN,10
0.2,1449,177,81,56,5.590062111801243,3.864734299516908,2710,33.45679012345679,48.392857142857146,SPN,10
0.25,1449,43,22,14,1.518288474810214,0.966183574879227,617,28.045454545454547,44.07142857142857,SPN,10
0.3,1449,21,10,5,0.6901311249137336,0.3450655624568668,316,31.6,63.2,SPN,10
0.4,1449,4,1,1,0.06901311249137336,0.06901311249137336,61,61.0,61.0,SPN,10
