  row   spin#  idx(r1,r2,r3)  reel1 reel2 reel3  tri  flags
  969   66682        (6,4,1)  accum goldS goldS       
  970   66683        (3,7,8)   coin steal spins       
  971   66684        (7,7,8)  accum goldS goldS       
  972   66685        (3,3,8)  accum goldS goldS       
  973   66686        (3,3,8)  accum goldS goldS       
  974   66687        (2,2,2)  accum goldS goldS       
  975   66691        (6,4,1)   coin steal steal       
  976   66692        (7,6,0)   coin steal spins       
  977   66693        (3,3,3)  attac spins goldS       
  978   66696        (1,8,8)   coin steal steal       
  979   66697        (3,3,8)  accum accum  coin       
  980   66700        (7,7,8)  steal spins goldS       
  981   66702        (0,0,0)  attac  coin  coin       
  982   66703        (2,2,2)  attac attac attac   3x  (triple: attack)
  983   66704        (3,4,0)  shiel shiel shiel   3x  (triple: shield)
  984   66705        (3,3,8)  attac steal goldS       
  985   66706        (8,8,8)  accum goldS goldS       >>> MAX BET (8,8,8) <<<
                                                      --- gap 24: 45 spins ---
  986   66707        (3,7,8)  accum accum accum   3x  <-- NEXT SPIN AFTER SIGNAL  **VT#24 ACC** (gap=45)
  987   66709        (4,4,1)  goldS goldS goldS   3x  (triple: goldSack)
  988   66710        (2,2,1)   coin steal steal       
  989   66712        (3,6,4)  attac  coin  coin       
  990   66714        (3,3,8)  attac steal goldS       
  991   66715        (1,5,0)  accum goldS goldS       
  992   66716        (3,3,8)  attac  coin  coin       
  993   66717        (3,3,8)  accum goldS goldS       
  994   66718        (4,4,4)  accum goldS goldS       
  995   66719        (7,6,4)  steal steal steal   3x  (triple: steal)
  996   66720        (7,6,4)  steal spins goldS       
  997   66721        (1,8,8)  steal spins goldS       
  998   66722        (7,7,8)  accum accum  coin       
  999   66723        (2,2,2)  accum goldS goldS       
 1000   66724        (0,0,0)  shiel shiel shiel   3x  (triple: shield)
 1001   66725        (4,4,4)  attac attac attac   3x  (triple: attack)
 1002   66726        (7,4,0)  steal steal steal   3x  (triple: steal)
 1003   66727        (7,7,7)  attac steal goldS       
 1004   66728        (6,4,5)  goldS goldS goldS   3x  (triple: goldSack)
 1005   66729        (2,5,0)   coin steal spins       
 1006   66730        (7,6,4)  attac  coin shiel       
 1007   66731        (7,3,8)  steal spins goldS       
 1008   66732        (6,4,1)  accum goldS goldS       
 1009   66733        (3,0,0)   coin steal spins       
 1010   66734        (7,0,0)  attac attac goldS       
 1011   66735        (2,1,0)  attac attac goldS       
 1012   66737        (7,7,8)  steal spins goldS       
 1013   66739        (0,0,0)  goldS goldS goldS   3x  (triple: goldSack)
 1014   66742        (5,5,1)  steal spins goldS       
 1015   66743        (7,4,0)   coin  coin  coin   3x  (triple: coin)
 1016   66745        (2,2,2)  attac  coin  coin       
 1017   66746        (1,8,8)  shiel shiel shiel   3x  (triple: shield)
 1018   66748        (5,5,1)  attac  coin shiel       
 1019   66750        (7,7,8)   coin spins spins       
 1020   66752        (3,3,8)  attac attac goldS       
 1021   66754        (2,2,2)  attac  coin  coin       
 1022   66755        (5,8,8)  shiel shiel shiel   3x  (triple: shield)
 1023   66756        (7,6,4)  accum accum  coin       
 1024   66757        (3,6,4)  steal spins goldS       
 1025   66761        (0,0,0)  attac  coin  coin       
 1026   66764        (5,8,8)   coin spins spins       
 1027   66766        (6,4,5)   coin  coin  coin   3x  (triple: coin)
 1028   66767        (6,6,6)   coin steal spins       >>> MAX BET (6,6,6) <<<
 1029   66769        (1,1,0)  goldS goldS goldS   3x  <-- NEXT SPIN AFTER SIGNAL  (triple: goldSack)
 1030   66770        (7,3,3)  attac  coin  coin       
 1031   66771        (6,6,6)  goldS goldS goldS   3x  >>> MAX BET (6,6,6) <<<  (triple: goldSack)
                                                      --- gap 25: 45 spins ---
 1032   66772        (6,4,1)  spins spins spins   3x  <-- NEXT SPIN AFTER SIGNAL  **VT#25 SPN** (gap=45)
 1033   66775        (3,3,8)   coin spins spins       
 1034   66777        (3,3,2)  goldS goldS goldS   3x  (triple: goldSack)
 1035   66778        (0,0,0)  shiel goldS goldS       
 1036   66779        (3,3,8)  attac attac attac   3x  (triple: attack)
 1037   66780        (7,0,0)  accum goldS goldS       
 1038   66781        (7,3,8)  attac attac goldS       
 1039   66782        (4,4,4)  accum goldS goldS       
 1040   66784        (0,0,0)  attac  coin  coin       
 1041   66785        (1,8,8)  attac attac attac   3x  (triple: attack)
 1042   66786        (0,0,0)  accum accum  coin       
 1043   66787        (3,3,8)  attac attac attac   3x  (triple: attack)
 1044   66788        (4,5,5)  accum goldS goldS       
 1045   66789        (7,7,8)   coin  coin steal       
 1046   66791        (3,6,0)   coin  coin steal       
 1047   66792        (7,7,3)  attac spins goldS       
 1048   66793        (4,4,4)  goldS goldS goldS   3x  (triple: goldSack)
 1049   66795        (0,0,0)  steal spins goldS       
 1050   66796        (3,3,8)  attac attac attac   3x  (triple: attack)
 1051   66798        (0,0,0)  attac spins goldS       
 1052   66800        (2,2,1)  attac  coin steal       
 1053   66802        (4,1,0)  attac attac goldS       
 1054   66803        (3,7,8)  attac  coin steal       
 1055   66804        (3,6,0)  accum goldS goldS       
 1056   66805        (4,1,5)  attac spins goldS       
 1057   66809        (4,4,4)   coin spins spins       
 1058   66810        (7,3,2)  steal steal steal   3x  (triple: steal)
 1059   66811        (6,1,1)  shiel goldS goldS       
 1060   66813        (1,8,8)   coin  coin  coin   3x  (triple: coin)
 1061   66814        (7,6,0)  accum accum  coin       
 1062   66815        (1,8,8)  attac spins goldS       
 1063   66816        (7,0,0)  accum accum  coin       
 1064   66817        (3,7,3)  attac attac goldS       
 1065   66818        (4,4,5)  goldS goldS goldS   3x  (triple: goldSack)
 1066   66819        (2,2,2)   coin steal steal       
 1067   66820        (4,5,1)  shiel shiel shiel   3x  (triple: shield)
 1068   66823        (3,3,8)   coin  coin  coin   3x  (triple: coin)
 1069   66824        (3,6,0)  accum goldS goldS       
 1070   66825        (7,3,7)  attac spins goldS       
 1071   66826        (3,3,8)  goldS goldS goldS   3x  (triple: goldSack)
 1072   66827        (0,0,0)  accum goldS goldS       
 1073   66828        (2,2,2)  attac attac attac   3x  (triple: attack)
 1074   66829        (0,0,0)  shiel shiel shiel   3x  (triple: shield)
 1075   66830        (0,0,0)  attac attac attac   3x  (triple: attack)
 1076   66831        (2,2,2)  attac attac attac   3x  (triple: attack)
 1077   66832        (7,3,8)  shiel shiel shiel   3x  (triple: shield)
 1078   66833        (3,7,8)  accum goldS goldS       
 1079   66834        (6,6,5)  accum goldS goldS       
 1080   66835        (7,3,3)   coin spins spins       
 1081   66836        (4,5,0)  goldS goldS goldS   3x  (triple: goldSack)
 1082   66837        (7,7,3)  attac  coin steal       
 1083   66839        (3,6,0)  attac attac goldS       
 1084   66840        (0,0,0)  attac spins goldS       
 1085   66841        (3,3,8)  attac attac attac   3x  (triple: attack)
 1086   66844        (3,7,7)  attac spins goldS       
 1087   66845        (3,6,0)  goldS goldS goldS   3x  (triple: goldSack)
 1088   66846        (3,7,8)  attac spins goldS       
 1089   66847        (8,8,8)  accum goldS goldS       >>> MAX BET (8,8,8) <<<
 1090   66849        (1,8,8)  attac  coin shiel       <-- NEXT SPIN AFTER SIGNAL
 1091   66853        (2,2,2)  attac spins goldS       
 1092   66854        (3,6,4)  shiel shiel shiel   3x  (triple: shield)
 1093   66855        (5,8,8)  steal spins goldS       
 1094   66856        (2,1,0)  accum accum  coin       
 1095   66857        (7,3,8)  attac  coin shiel       
 1096   66858        (7,3,8)  accum goldS goldS       
 1097   66859        (3,7,8)  accum goldS goldS       
 1098   66860        (5,5,1)  accum goldS goldS       
 1099   66861        (2,1,0)   coin  coin  coin   3x  (triple: coin)
 1100   66862        (4,1,0)  attac  coin shiel       
 1101   66863        (4,1,5)  attac  coin steal       
 1102   66865        (2,2,2)  attac spins goldS       
 1103   66869        (3,7,8)  goldS goldS goldS   3x  (triple: goldSack)
 1104   66870        (7,0,0)  accum goldS goldS       
 1105   66872        (7,3,8)  steal spins goldS       
 1106   66877        (0,0,0)   coin steal steal       
 1107   66878        (7,3,8)  attac attac attac   3x  (triple: attack)
