  row   spin#  idx(r1,r2,r3)  reel1 reel2 reel3  tri  flags
  151   65438        (5,5,5)  attac  coin shiel       
  152   65439        (3,3,8)   coin  coin  coin   3x  (triple: coin)
  153   65440        (3,4,0)  accum goldS goldS       
  154   65442        (4,1,5)  attac spins goldS       
  155   65444        (4,4,5)   coin spins spins       
  156   65445        (4,4,5)   coin steal steal       
  157   65446        (1,0,0)   coin steal steal       
  158   65448        (7,6,4)   coin  coin  coin   3x  (triple: coin)
  159   65449        (3,6,0)  steal spins goldS       
  160   65450        (7,3,7)  attac spins goldS       
  161   65452        (3,7,8)  goldS goldS goldS   3x  (triple: goldSack)
  162   65453        (0,0,0)  accum goldS goldS       
  163   65455        (0,0,0)  attac spins goldS       
  164   65456        (3,7,8)  attac attac attac   3x  (triple: attack)
  165   65457        (5,8,8)  accum goldS goldS       
  166   65459        (3,6,0)  goldS goldS goldS   3x  (triple: goldSack)
  167   65461        (7,3,8)   coin  coin  coin   3x  (triple: coin)
  168   65462        (2,2,2)  accum goldS goldS       
  169   65463        (2,2,2)  shiel shiel shiel   3x  (triple: shield)
  170   65464        (7,6,0)  shiel shiel shiel   3x  (triple: shield)
  171   65465        (2,1,0)  attac spins goldS       
  172   65466        (3,6,0)  attac  coin shiel       
  173   65468        (7,4,0)  goldS goldS goldS   3x  (triple: goldSack)
  174   65469        (4,5,1)  attac steal goldS       
  175   65471        (3,3,8)  attac attac  coin       
  176   65472        (3,7,8)  accum goldS goldS       
  177   65474        (4,1,5)  attac spins goldS       
  178   65475        (7,3,8)   coin  coin steal       
  179   65476        (6,6,1)  accum goldS goldS       
  180   65477        (0,0,0)   coin spins spins       
  181   65478        (0,0,0)  attac attac attac   3x  (triple: attack)
  182   65479        (4,1,5)  attac attac attac   3x  (triple: attack)
  183   65480        (3,3,8)   coin  coin steal       
  184   65481        (4,5,5)  accum goldS goldS       
  185   65483        (7,6,0)  attac  coin shiel       
  186   65485        (2,2,2)   coin steal steal       
  187   65487        (4,4,4)  attac attac  coin       
  188   65490        (3,6,4)  goldS goldS goldS   3x  (triple: goldSack)
  189   65491        (7,4,0)  steal spins goldS       
  190   65492        (7,7,8)  attac steal goldS       
  191   65493        (4,1,1)  accum goldS goldS       
  192   65494        (7,6,4)   coin  coin steal       
  193   65495        (2,5,0)  steal spins goldS       
  194   65496        (1,8,8)  attac  coin shiel       
  195   65497        (3,7,8)  accum accum  coin       
  196   65499        (6,6,6)   coin  coin  coin   3x  >>> MAX BET (6,6,6) <<<  (triple: coin)
                                                      --- gap 4: 49 spins ---
  197   65500        (8,8,8)  spins spins spins   3x  >>> MAX BET (8,8,8) <<<  <-- NEXT SPIN AFTER SIGNAL  **VT#4 SPN** (gap=49)
                                                      --- gap 5: 0 spins ---
  198   65501        (7,3,8)  accum accum accum   3x  <-- NEXT SPIN AFTER SIGNAL  **VT#5 ACC** (gap=0)
  199   65502        (3,3,8)  accum goldS goldS       
  200   65504        (1,8,8)  attac spins goldS       
  201   65505        (0,0,0)  accum accum  coin       
  202   65506        (4,4,4)  attac attac attac   3x  (triple: attack)
  203   65509        (1,5,1)  goldS goldS goldS   3x  (triple: goldSack)
  204   65510        (2,2,5)   coin  coin  coin   3x  (triple: coin)
  205   65511        (7,0,0)   coin shiel shiel       
  206   65512        (2,2,2)  attac attac goldS       
  207   65514        (3,7,8)  goldS goldS goldS   3x  (triple: goldSack)
