sn,csv_seq,r1_idx,r2_idx,r3_idx,s1,s2,s3,reel_1,reel_2,reel_3,spin_result,reward_code,is_triple,is_valuable,se_hash,bet_state
65481,65482,4,5,5,1,1,4,coin,coin,steal,gold,1,False,False,9b0002fd,3
65483,65484,7,6,0,3,6,2,attack,spins,goldSack,gold,1,False,False,9b0002fd,3
65485,65486,2,2,2,5,5,5,shield,shield,shield,shield,3,True,True,9b0002fd,3
65487,65488,4,4,4,4,4,4,steal,steal,steal,steal,4,True,False,9b0002fd,3
65490,65491,3,6,4,4,6,2,steal,spins,goldSack,gold,1,False,False,9b0002fd,3
65491,65492,7,4,0,3,4,2,attack,steal,goldSack,gold,1,False,False,9b0002fd,3
65492,65493,7,7,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65493,65494,4,1,1,1,1,4,coin,coin,steal,gold,1,False,False,9b0002fd,3
65494,65495,7,6,4,4,6,2,steal,spins,goldSack,gold,1,False,False,9b0002fd,3
65495,65496,2,5,0,3,1,5,attack,coin,shield,gold,1,False,False,9b0002fd,3
65496,65497,1,8,8,30,30,1,accumulation,accumulation,coin,gold,1,False,False,9b0002fd,3
65497,65498,3,7,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65499,65500,6,6,6,6,6,6,spins,spins,spins,spins,5,True,True,9b0002fd,3
65500,65501,8,8,8,30,30,30,accumulation,accumulation,accumulation,gold,10,True,False,9b0002fd,3
65501,65502,7,3,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65502,65503,3,3,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65504,65505,1,8,8,30,30,1,accumulation,accumulation,coin,gold,1,False,False,9b0002fd,3
65505,65506,0,0,0,3,3,3,attack,attack,attack,attack,2,True,False,9b0002fd,3
65506,65507,4,4,4,4,4,4,steal,steal,steal,steal,4,True,False,9b0002fd,3
65509,65510,1,5,1,1,1,1,coin,coin,coin,gold,1,True,False,9b0002fd,3
65510,65511,2,2,5,1,5,5,coin,shield,shield,gold,1,False,False,9b0002fd,3
65511,65512,7,0,0,3,3,2,attack,attack,goldSack,gold,1,False,False,9b0002fd,3
65512,65513,2,2,2,5,5,5,shield,shield,shield,shield,3,True,True,9b0002fd,3
65514,65515,3,7,8,30,2,2,accumulation,goldSack,goldSack,gold,1,False,False,9b0002fd,3
65517,65518,5,8,8,30,30,1,accumulation,accumulation,coin,gold,1,False,False,9b0002fd,3
65520,65521,0,8,8,30,30,3,accumulation,accumulation,attack,gold,6,False,False,9b0002fd,3
