cycle_id,account,session_id,cycle_start_seq,cycle_end_seq,cycle_end_symbol,seq,t,spins_to_vt,prev_vt_type,cum_any_triples,cum_acc_triples,cum_spn_triples,cum_atk_triples,cum_shd_triples,cum_stl_triples,cum_coin_triple,cum_gs_triple,last_any_triple_gap,last_real_triple_gap,last_acc_triple_gap,last_spn_triple_gap,last_atk_triple_gap,last_shd_triple_gap,last_stl_triple_gap,last_coin_triple_gap,last_gs_triple_gap,cooldown_age,density_any_last5,density_any_last10,cooldown_last5,cooldown_last10,reel_dup_last,reel_dup_streak,cur_cat_id,cat_lag1,cat_lag2,cat_lag3,y_any_next3,y_acc_next3,y_spn_next3,y_any_next5,y_acc_next5,y_spn_next5,y_any_next10,y_acc_next10,y_spn_next10,acc_gap_lag1,acc_gap_lag2,acc_gap_lag3,acc_gap_lag4,spn_gap_lag1,spn_gap_lag2,spn_gap_lag3,spn_gap_lag4,vt_gap_lag1,vt_gap_lag2,vt_gap_lag3,vt_gap_lag4,acc_gap_mean3,acc_gap_std3,spn_gap_mean3,spn_gap_std3,vt_gap_mean3,vt_gap_std3,pvt_ACC,pvt_SPN
1325,Nick,Nick|spin_history_Nick_2026-04-20.csv,80189,80303,ACC,80194,5,109,SPN,1,0,0,1,0,0,0,0,1.0,1.0,,,1.0,,,,,1.0,1,1,1,1,0,0,10,2,14,7,0,0,0,0,0,0,0,0,0,123.0,30.0,84.0,146.0,69.0,87.0,183.0,100.0,20.0,49.0,74.0,13.0,79.0,38.13135192987524,113.0,50.039984012787215,47.666666666666664,22.065558884580486,False,True
1325,Nick,Nick|spin_history_Nick_2026-04-20.csv,80189,80303,ACC,80195,6,108,SPN,1,0,0,1,0,0,0,0,2.0,2.0,,,2.0,,,,,2.0,1,1,1,1,0,0,7,10,2,14,0,0,0,0,0,0,0,0,0,123.0,30.0,84.0,146.0,69.0,87.0,183.0,100.0,20.0,49.0,74.0,13.0,79.0,38.13135192987524,113.0,50.039984012787215,47.666666666666664,22.065558884580486,False,True
1325,Nick,Nick|spin_history_Nick_2026-04-20.csv,80189,80303,ACC,80196,7,107,SPN,1,0,0,1,0,0,0,0,3.0,3.0,,,3.0,,,,,3.0,1,1,1,1,0,0,14,7,10,2,0,0,0,0,0,0,0,0,0,123.0,30.0,84.0,146.0,69.0,87.0,183.0,100.0,20.0,49.0,74.0,13.0,79.0,38.13135192987524,113.0,50.039984012787215,47.666666666666664,22.065558884580486,False,True
1325,Nick,Nick|spin_history_Nick_2026-04-20.csv,80189,80303,ACC,80197,8,106,SPN,1,0,0,1,0,0,0,0,4.0,4.0,,,4.0,,,,,4.0,1,1,1,1,0,0,6,14,7,10,0,0,0,0,0,0,0,0,0,123.0,30.0,84.0,146.0,69.0,87.0,183.0,100.0,20.0,49.0,74.0,13.0,79.0,38.13135192987524,113.0,50.039984012787215,47.666666666666664,22.065558884580486,False,True
1325,Nick,Nick|spin_history_Nick_2026-04-20.csv,80189,80303,ACC,80198,9,105,SPN,2,0,0,1,0,0,0,1,1.0,1.0,,,5.0,,,,1.0,5.0,2,2,1,1,0,0,3,6,14,7,0,0,0,0,0,0,0,0,0,123.0,30.0,84.0,146.0,69.0,87.0,183.0,100.0,20.0,49.0,74.0,13.0,79.0,38.13135192987524,113.0,50.039984012787215,47.666666666666664,22.065558884580486,False,True
1325,Nick,Nick|spin_history_Nick_2026-04-20.csv,80189,80303,ACC,80199,10,104,SPN,3,0,0,1,1,0,0,1,1.0,1.0,,,6.0,1.0,,,2.0,1.0,2,3,1,2,0,0,14,3,6,14,0,0,0,0,0,0,0,0,0,123.0,30.0,84.0,146.0,69.0,87.0,183.0,100.0,20.0,49.0,74.0,13.0,79.0,38.13135192987524,113.0,50.039984012787215,47.666666666666664,22.065558884580486,False,True
1325,Nick,Nick|spin_history_Nick_2026-04-20.csv,80189,80303,ACC,80200,11,103,SPN,3,0,0,1,1,0,0,1,2.0,2.0,,,7.0,2.0,,,3.0,2.0,2,3,1,2,0,0,4,14,3,6,0,0,0,0,0,0,0,0,0,123.0,30.0,84.0,146.0,69.0,87.0,183.0,100.0,20.0,49.0,74.0,13.0,79.0,38.13135192987524,113.0,50.039984012787215,47.666666666666664,22.065558884580486,False,True
1325,Nick,Nick|spin_history_Nick_2026-04-20.csv,80189,80303,ACC,80201,12,102,SPN,4,0,0,1,1,1,0,1,1.0,1.0,,,8.0,3.0,1.0,,4.0,1.0,3,4,2,3,0,0,9,4,14,3,0,0,0,0,0,0,0,0,0,123.0,30.0,84.0,146.0,69.0,87.0,183.0,100.0,20.0,49.0,74.0,13.0,79.0,38.13135192987524,113.0,50.039984012787215,47.666666666666664,22.065558884580486,False,True
1325,Nick,Nick|spin_history_Nick_2026-04-20.csv,80189,80303,ACC,80202,13,101,SPN,4,0,0,1,1,1,0,1,2.0,2.0,,,9.0,4.0,2.0,,5.0,2.0,3,4,2,3,0,0,3,9,4,14,0,0,0,0,0,0,0,0,0,123.0,30.0,84.0,146.0,69.0,87.0,183.0,100.0,20.0,49.0,74.0,13.0,79.0,38.13135192987524,113.0,50.039984012787215,47.666666666666664,22.065558884580486,False,True
1325,Nick,Nick|spin_history_Nick_2026-04-20.csv,80189,80303,ACC,80203,14,100,SPN,5,0,0,1,2,1,0,1,1.0,1.0,,,10.0,1.0,3.0,,6.0,1.0,3,5,3,4,0,0,4,3,9,4,0,0,0,0,0,0,0,0,0,123.0,30.0,84.0,146.0,69.0,87.0,183.0,100.0,20.0,49.0,74.0,13.0,79.0,38.13135192987524,113.0,50.039984012787215,47.666666666666664,22.065558884580486,False,True
