threshold,cycles_total,cycles_played,vt_hits,target_hits,vt_catch_total_pct,target_catch_total_pct,bets_total,bets_per_vt_hit,bets_per_target_hit,head,horizon
0.4,506,21,6,6,1.1857707509881423,1.1857707509881423,255,42.5,42.5,ANY_VT,10
0.05,506,461,146,63,28.85375494071146,12.450592885375494,9395,64.34931506849315,149.12698412698413,ACC,10
0.08,506,316,115,64,22.727272727272727,12.648221343873518,5859,50.947826086956525,91.546875,ACC,10
0.1,506,304,112,63,22.134387351778656,12.450592885375494,5514,49.232142857142854,87.52380952380952,ACC,10
0.12,506,146,59,32,11.660079051383399,6.324110671936759,2441,41.3728813559322,76.28125,ACC,10
0.15,506,13,3,2,0.5928853754940712,0.3952569169960474,182,60.666666666666664,91.0,ACC,10
0.2,506,11,4,2,0.7905138339920948,0.3952569169960474,167,41.75,83.5,ACC,10
0.25,506,2,0,0,0.0,0.0,22,,,ACC,10
0.3,506,2,0,0,0.0,0.0,22,,,ACC,10
0.4,506,2,0,0,0.0,0.0,21,,,ACC,10
0.05,506,431,140,74,27.66798418972332,14.624505928853756,8761,62.57857142857143,118.39189189189189,SPN,10
0.08,506,361,132,81,26.08695652173913,16.007905138339922,6738,51.04545454545455,83.18518518518519,SPN,10
0.1,506,297,114,72,22.529644268774703,14.229249011857707,5177,45.41228070175438,71.90277777777777,SPN,10
0.12,506,155,68,40,13.438735177865613,7.905138339920948,2455,36.10294117647059,61.375,SPN,10
0.15,506,96,44,27,8.695652173913043,5.335968379446641,1482,33.68181818181818,54.888888888888886,SPN,10
0.2,506,11,5,3,0.9881422924901185,0.5928853754940712,158,31.6,52.666666666666664,SPN,10
0.25,506,11,5,3,0.9881422924901185,0.5928853754940712,156,31.2,52.0,SPN,10
0.3,506,9,5,3,0.9881422924901185,0.5928853754940712,87,17.4,29.0,SPN,10
0.4,506,8,4,3,0.7905138339920948,0.5928853754940712,72,18.0,24.0,SPN,10
