================================================================================
CHUNK 2: SYMBOL COUNTER SWEEPS
================================================================================

======================================== ACC (178 gaps) ========================================

--- ACC: Each sa_* counter as rate gate (threshold=130) ---
     counter    gate   caught     bet%    mb/hit    lift
   sa_3x_shd          9    7/178    0.92%      23.7    4.28x

--- ACC: Sum of 2 counters as rate gate (threshold=130) ---
                    pair    gate   caught     bet%    mb/hit    lift
           sa_acc+sa_spn    0.25   59/178   12.55%      38.4    2.64x
           sa_acc+sa_spn    0.27   59/178   12.55%      38.4    2.64x
           sa_acc+sa_spn    0.29   59/178   12.55%      38.4    2.64x
           sa_acc+sa_spn    0.31   59/178   12.55%      38.4    2.64x
           sa_acc+sa_spn    0.33   59/178   12.55%      38.4    2.64x
           sa_acc+sa_spn    0.35   59/178   12.55%      38.4    2.64x
           sa_acc+sa_spn    0.37   59/178   12.55%      38.4    2.64x
           sa_acc+sa_spn    0.39   59/178   12.55%      38.4    2.64x
           sa_acc+sa_spn    0.41   59/178   12.55%      38.4    2.64x
           sa_acc+sa_spn    0.43   59/178   12.55%      38.4    2.64x
           sa_acc+sa_spn    0.45   59/178   12.54%      38.4    2.64x
           sa_acc+sa_spn    0.47   59/178   12.37%      37.9    2.68x
           sa_acc+sa_spn    0.49   59/178   11.90%      36.4    2.78x
           sa_acc+sa_spn    0.51   52/178   10.39%      36.1    2.81x
           sa_acc+sa_spn    0.53   46/178    7.02%      27.6    3.68x
           sa_acc+sa_atk    0.25   59/178   12.55%      38.4    2.64x
           sa_acc+sa_atk    0.27   59/178   12.55%      38.4    2.64x
           sa_acc+sa_atk    0.29   59/178   12.55%      38.4    2.64x
           sa_acc+sa_atk    0.31   59/178   12.55%      38.4    2.64x
           sa_acc+sa_atk    0.33   59/178   12.55%      38.4    2.64x
           sa_acc+sa_atk    0.35   59/178   12.55%      38.4    2.64x
           sa_acc+sa_atk    0.37   59/178   12.55%      38.4    2.64x
           sa_acc+sa_atk    0.39   59/178   12.55%      38.4    2.64x
           sa_acc+sa_atk    0.41   59/178   12.55%      38.4    2.64x
           sa_acc+sa_atk    0.43   59/178   12.55%      38.4    2.64x
           sa_acc+sa_atk    0.45   59/178   12.55%      38.4    2.64x
           sa_acc+sa_atk    0.47   59/178   12.55%      38.4    2.64x
           sa_acc+sa_atk    0.49   59/178   12.55%      38.4    2.64x
           sa_acc+sa_atk    0.51   59/178   12.55%      38.4    2.64x
           sa_acc+sa_atk    0.53   59/178   12.55%      38.4    2.64x
           sa_acc+sa_stl    0.25   59/178   12.55%      38.4    2.64x
           sa_acc+sa_stl    0.27   59/178   12.55%      38.4    2.64x
           sa_acc+sa_stl    0.29   59/178   12.55%      38.4    2.64x
           sa_acc+sa_stl    0.31   59/178   12.55%      38.4    2.64x
           sa_acc+sa_stl    0.33   59/178   12.55%      38.4    2.64x
           sa_acc+sa_stl    0.35   59/178   12.55%      38.4    2.64x
           sa_acc+sa_stl    0.37   59/178   12.55%      38.4    2.64x
           sa_acc+sa_stl    0.39   59/178   12.55%      38.4    2.64x
           sa_acc+sa_stl    0.41   59/178   12.55%      38.4    2.64x
           sa_acc+sa_stl    0.43   59/178   12.55%      38.4    2.64x
           sa_acc+sa_stl    0.45   59/178   12.55%      38.4    2.64x
           sa_acc+sa_stl    0.47   59/178   12.55%      38.4    2.64x
           sa_acc+sa_stl    0.49   59/178   12.55%      38.4    2.64x
           sa_acc+sa_stl    0.51   59/178   12.51%      38.3    2.65x
           sa_acc+sa_stl    0.53   58/178   12.41%      38.6    2.63x
           sa_acc+sa_shd    0.25   59/178   12.55%      38.4    2.64x
           sa_acc+sa_shd    0.27   59/178   12.55%      38.4    2.64x
           sa_acc+sa_shd    0.29   59/178   12.55%      38.4    2.64x
           sa_acc+sa_shd    0.31   59/178   12.55%      38.4    2.64x
           sa_acc+sa_shd    0.33   59/178   12.55%      38.4    2.64x
           sa_acc+sa_shd    0.35   59/178   12.55%      38.4    2.64x
           sa_acc+sa_shd    0.37   59/178   12.55%      38.4    2.64x
           sa_acc+sa_shd    0.39   59/178   12.55%      38.4    2.64x
           sa_acc+sa_shd    0.41   59/178   12.38%      37.9    2.68x
           sa_acc+sa_shd    0.43   59/178   11.99%      36.7    2.77x
           sa_acc+sa_shd    0.45   55/178   11.07%      36.4    2.79x
           sa_acc+sa_shd    0.47   49/178   10.07%      37.1    2.73x
