GAP_COMPARISON: +/- 20 vs +/- 30 WINDOW
Format: [Gap #] | Result_20 | Bets_20 | Result_30 | Bets_30
[spi] Gap #143 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #144 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #145 | FAIL  |   0 MB | FAIL  |   0 MB
[spi] Gap #146 | FAIL  |  41 MB | FAIL  |  41 MB
[spi] Gap #147 | FAIL  |  39 MB | FAIL  |  39 MB
[spi] Gap #148 | FAIL  |   0 MB | FAIL  |   0 MB

========== ACCOUNT: NICK ==========
[acc] Gap #004 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #005 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #006 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #007 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #008 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #009 | CATCH |   2 MB | CATCH |   2 MB
[acc] Gap #010 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #011 | FAIL  |  52 MB | FAIL  |  52 MB
[acc] Gap #012 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #013 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #014 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #015 | FAIL  | 106 MB | FAIL  | 106 MB
[acc] Gap #016 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #017 | FAIL  |  14 MB | FAIL  |  14 MB
[acc] Gap #018 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #019 | CATCH |  11 MB | CATCH |  11 MB
[acc] Gap #020 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #021 | FAIL  |  27 MB | FAIL  |  30 MB
[acc] Gap #022 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #023 | FAIL  |  22 MB | FAIL  |  22 MB
[acc] Gap #024 | FAIL  |  16 MB | FAIL  |  16 MB
[acc] Gap #025 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #026 | FAIL  |   0 MB | FAIL  |   0 MB
[acc] Gap #027 | CATCH |   7 MB | CATCH |   7 MB
