================================================================================
CHUNK 3: S/M/L MEGA SWEEP
================================================================================
ACC gaps with known prev: 175 / 178
Baseline (130/0.30) on gaps-with-prev: caught= 31/175  bet= 2.96%  mb/hit=  17.1  lift= 5.99x

--- Part A: Flat configs on gaps-with-prev (for fair comparison) ---
              config   caught     bet%    mb/hit    lift
       flat_150/0.32    7/175    0.26%       6.7   15.24x
       flat_130/0.32   14/175    0.85%      10.9    9.36x
       flat_140/0.32    8/175    0.51%      11.5    8.90x
       flat_120/0.32   16/175    1.26%      14.1    7.25x
       flat_130/0.34    5/175    0.40%      14.4    7.11x
       flat_120/0.34    6/175    0.52%      15.5    6.60x
       flat_110/0.34    9/175    0.78%      15.6    6.58x
       flat_110/0.32   20/175    1.80%      16.1    6.36x
       flat_150/0.30   18/175    1.69%      16.8    6.08x
       flat_130/0.30   31/175    2.96%      17.1    5.99x
       flat_100/0.34   12/175    1.16%      17.3    5.90x
       flat_140/0.30   20/175    2.19%      19.6    5.21x
       flat_100/0.32   24/175    2.66%      19.8    5.16x
       flat_120/0.30   37/175    4.14%      20.1    5.10x
       flat_180/0.30    7/175    0.87%      22.3    4.59x
       flat_110/0.30   43/175    5.48%      22.8    4.48x
       flat_160/0.30   10/175    1.28%      22.9    4.47x
       flat_170/0.30    8/175    1.03%      23.0    4.45x
        flat_90/0.34   12/175    1.55%      23.1    4.43x
       flat_130/0.28   47/175    6.25%      23.8    4.30x

--- Part B: S/M/L sweep (boundaries x thresholds x gate) ---
Total configs evaluated: 341,220
Configs with >= 5 catches: 322,544

--- Top 80 by lift ---
  S<  L>=    t_S    t_M    t_L  gate   caught     bet%    mb/hit    lift
 100  110    150    140    130  0.32   12/175    0.35%       5.2   19.81x
 100  110    150    150    130  0.32   12/175    0.35%       5.2   19.81x
 100  110    150    160    130  0.32   12/175    0.35%       5.2   19.81x
 100  110    150    180    130  0.32   12/175    0.35%       5.2   19.81x
 100  120    150    120    130  0.32   12/175    0.35%       5.2   19.81x
 100  120    150    130    130  0.32   12/175    0.35%       5.2   19.81x
 100  120    150    140    130  0.32   12/175    0.35%       5.2   19.81x
 100  130    150    130    130  0.32   12/175    0.35%       5.2   19.81x

--- Pareto frontier: best mb/hit at each catch level ---
  S<  L>=    t_S    t_M    t_L  gate   caught     bet%    mb/hit    lift
  50  130    100    160    100  0.34    5/175    0.04%       1.6   63.96x
  60  130    150    180    130  0.32    6/175    0.09%       2.7   38.38x
  50  120    160    180    130  0.32    7/175    0.11%       2.7   37.70x
  50  120    150    180    130  0.32    8/175    0.12%       2.6   38.99x
  60  120    150    180    130  0.32    9/175    0.15%       2.9   35.42x
  90  120    150    180    130  0.32   10/175    0.20%       3.5   29.24x
  50  120    160    150    130  0.32   11/175    0.32%       5.2   19.75x
 100  120    150    180    130  0.32   12/175    0.26%       3.8   26.70x
 100  120    150    110    130  0.32   13/175    0.35%       4.8   21.12x
 100  170    150    130    100  0.32   14/175    0.47%       6.0   17.06x
 100  150    150    130    100  0.32   15/175    0.48%       5.7   17.85x
 100  130    150    130    100  0.32   16/175    0.53%       5.9   17.24x
  50  130    100    150    100  0.32   17/175    0.74%       7.8   13.08x
  50  120     80    150    130  0.32   18/175    0.89%       8.8   11.59x
  50  130     80    150    100  0.32   19/175    1.02%       9.6   10.68x
  50  130    110    130    100  0.32   20/175    1.11%       9.9   10.34x
  50  130    100    130    100  0.32   21/175    1.18%      10.0   10.19x
  50  150     80    130    100  0.32   22/175    1.40%      11.4    8.97x
  50  130     80    130    100  0.32   23/175    1.45%      11.3    9.05x
 100  120    160    110    130  0.30   24/175    1.71%      12.8    8.03x
 100  120    150    180    130  0.30   25/175    1.69%      12.1    8.44x
  50  100    160    150    130  0.30   26/175    1.93%      13.3    7.69x
  50  100    150    150    130  0.30   27/175    2.00%      13.3    7.72x
 100  110    150    120    130  0.30   28/175    2.00%      12.8    7.98x
 100  110    150    110    130  0.30   29/175    2.01%      12.4    8.24x
 100  120    150    110    130  0.30   30/175    2.03%      12.1    8.46x
 100  120    150    100    130  0.30   31/175    2.19%      12.6    8.09x
 100  120    150    100    120  0.30   32/175    2.52%      14.1    7.25x
 100  150    150    120    100  0.30   33/175    2.61%      14.2    7.23x
 100  130    150    120    100  0.30   34/175    2.75%      14.5    7.06x
 100  150    150    110    100  0.30   35/175    2.88%      14.7    6.95x
 100  130    150    110    100  0.30   36/175    2.95%      14.7    6.98x
 100  110    150    110    100  0.30   37/175    3.25%      15.7    6.51x
  70  100    150    130    100  0.30   38/175    3.62%      17.1    5.99x
  60  100    150    130    100  0.30   39/175    3.64%      16.7    6.13x
  50  100    150    130    100  0.30   40/175    3.88%      17.4    5.90x
  80  100    130    150    100  0.30   41/175    3.91%      17.1    5.99x
  80  100    120    180    100  0.30   42/175    4.27%      18.2    5.63x
  50  100    110    150    100  0.30   43/175    4.35%      18.1    5.65x
  70  100    120    150    100  0.30   44/175    4.46%      18.2    5.64x
  80  100    120    150    100  0.30   45/175    4.53%      18.0    5.68x
  50  100    110    130    100  0.30   46/175    4.95%      19.3    5.31x
  80  100    110    150    100  0.30   47/175    5.19%      19.8    5.18x
  50  100    100    130    100  0.30   48/175    5.30%      19.8    5.18x
  50  100     80    150    100  0.30   49/175    5.51%      20.1    5.08x
  50  150    100    130     40  0.30   50/175    5.86%      21.0    4.87x
  80  100    100    150    100  0.30   51/175    5.86%      20.6    4.98x
  50  100     80    130    100  0.30   52/175    6.11%      21.0    4.86x
  50  100     80    120    100  0.30   53/175    6.59%      22.3    4.60x
  50  150     80    130     40  0.30   54/175    6.67%      22.1    4.62x
  50  150    120    130    100  0.28   55/175    7.23%      23.5    4.35x
  60  150    120    130    100  0.28   56/175    7.44%      23.8    4.30x
  50  150     80    120     40  0.30   57/175    7.44%      23.4    4.38x
  80  150    100    110     40  0.30   58/175    7.85%      24.2    4.22x
