acct,session,round_idx,spins,cost,shields_or_hammers,catch_bet,catch_level,breakdown
Ahmed,0,160,137,34340,78,1500,3,36@15 44@50 49@400 8@1500
Ahmed,0,161,86,2760,44,50,1,44@15 42@50
Ahmed,0,162,29,435,8,15,0,29@15
Ahmed,0,163,141,33135,83,1500,3,49@15 44@50 38@400 10@1500
Ahmed,0,164,132,12410,56,400,2,74@15 34@50 24@400
Ahmed,0,165,84,2695,44,50,1,43@15 41@50
Ahmed,0,166,83,2715,47,50,1,41@15 42@50
Ahmed,0,167,72,1780,33,50,1,52@15 20@50
Ahmed,0,168,135,20015,74,400,2,41@15 52@50 42@400
Ahmed,0,169,81,1845,34,50,1,63@15 18@50
Ahmed,0,170,117,9840,61,400,2,36@15 66@50 15@400
Ahmed,0,171,140,21210,73,400,2,44@15 51@50 45@400
Ahmed,0,172,27,405,9,15,0,27@15
Ahmed,0,173,78,2885,45,50,1,29@15 49@50
Ahmed,0,174,104,3555,49,50,1,47@15 57@50
Ahmed,0,175,130,19905,72,400,2,57@15 29@50 44@400
Ahmed,0,176,148,20700,70,400,2,50@15 55@50 43@400
Ahmed,0,177,58,1745,35,50,1,33@15 25@50
Ahmed,0,178,153,21510,73,400,2,64@15 43@50 46@400
Ahmed,0,179,44,660,19,15,0,44@15
Ahmed,0,180,78,2115,47,50,1,51@15 27@50
Ahmed,0,181,140,15330,63,400,2,52@15 59@50 29@400
Ahmed,0,182,101,4805,51,400,2,37@15 61@50 3@400
Ahmed,0,183,140,22890,72,400,2,56@15 33@50 51@400
Ahmed,0,184,37,555,10,15,0,37@15
Ahmed,0,185,89,7320,53,400,2,28@15 50@50 11@400
Ahmed,0,186,134,28380,77,1500,3,52@15 40@50 34@400 8@1500
Ahmed,0,187,54,810,18,15,0,54@15
Ahmed,0,188,139,33715,82,1500,3,51@15 41@50 36@400 11@1500
Ahmed,0,189,79,1290,27,50,1,76@15 3@50
Ahmed,0,190,123,14935,59,400,2,39@15 55@50 29@400
Ahmed,0,191,120,17655,64,400,2,47@15 35@50 38@400
Ahmed,0,192,30,450,16,15,0,30@15
Ahmed,1,193,134,26520,77,1500,3,48@15 34@50 49@400 3@1500
Ahmed,1,194,124,8510,56,400,2,54@15 58@50 12@400
Ahmed,1,195,78,2570,41,50,1,38@15 40@50
Ahmed,1,196,57,1415,30,50,1,41@15 16@50
Ahmed,1,197,176,73800,90,1500,3,50@15 39@50 54@400 33@1500
Ahmed,1,198,105,9170,54,400,2,38@15 52@50 15@400
Ahmed,1,199,85,2815,43,50,1,41@15 44@50
Ahmed,1,200,118,8700,57,400,2,50@15 55@50 13@400
Ahmed,1,201,35,525,20,15,0,35@15
Ahmed,1,202,157,30845,72,400,2,43@15 44@50 70@400
Ahmed,1,203,25,375,18,15,0,25@15
Ahmed,1,204,133,14455,60,400,2,57@15 48@50 28@400
Ahmed,1,205,86,2550,41,50,1,50@15 36@50
Ahmed,1,206,260,675200,143,6000,4,50@15 39@50 35@400 35@1500 101@6000
Ahmed,1,207,75,2000,31,50,1,50@15 25@50
Ahmed,1,208,117,14950,58,400,2,50@15 36@50 31@400
Ahmed,1,209,79,2445,47,50,1,43@15 36@50
Ahmed,1,210,97,4290,52,400,2,46@15 48@50 3@400
Ahmed,1,211,103,3715,44,50,1,41@15 62@50
Ahmed,1,212,163,40400,81,1500,3,50@15 41@50 64@400 8@1500
